"","word","absolute.freqency","relative.frequency"
"babi","babi",119,0.00870901639344262
"control","control",119,0.00870901639344262
"kit","kit",119,0.00870901639344262
"best","best",118,0.00863583138173302
"drink","drink",118,0.00863583138173302
"full","full",118,0.00863583138173302
"begin","begin",116,0.00848946135831382
"host","host",116,0.00848946135831382
"ill","ill",116,0.00848946135831382
"particip","particip",116,0.00848946135831382
"show","show",116,0.00848946135831382
"fair","fair",115,0.00841627634660422
"increas","increas",115,0.00841627634660422
"citi","citi",114,0.00834309133489461
"educ","educ",114,0.00834309133489461
"either","either",114,0.00834309133489461
"million","million",114,0.00834309133489461
"person","person",114,0.00834309133489461
"disast","disast",113,0.00826990632318501
"fun","fun",113,0.00826990632318501
"includ","includ",113,0.00826990632318501
"partner","partner",113,0.00826990632318501
"death","death",112,0.00819672131147541
"exercis","exercis",112,0.00819672131147541
"hpv","hpv",112,0.00819672131147541
"next","next",112,0.00819672131147541
"tri","tri",112,0.00819672131147541
"travel","travel",111,0.00812353629976581
"around","around",110,0.00805035128805621
"promot","promot",110,0.00805035128805621
"reduc","reduc",110,0.00805035128805621
"hospit","hospit",109,0.0079771662763466
"regist","regist",109,0.0079771662763466
"thanksgiv","thanksgiv",109,0.0079771662763466
"websit","websit",109,0.0079771662763466
"think","think",108,0.007903981264637
"august","august",107,0.0078307962529274
"breast","breast",107,0.0078307962529274
"dental","dental",107,0.0078307962529274
"even","even",107,0.0078307962529274
"link","link",107,0.0078307962529274
"novemb","novemb",107,0.0078307962529274
"question","question",107,0.0078307962529274
"februari","februari",106,0.0077576112412178
"job","job",106,0.0077576112412178
"infect","infect",105,0.0076844262295082
"schedul","schedul",105,0.0076844262295082
"assist","assist",104,0.00761124121779859
"coverag","coverag",104,0.00761124121779859
"natlprep","natlprep",104,0.00761124121779859
"sever","sever",104,0.00761124121779859
"becom","becom",103,0.00753805620608899
"cuphd","cuphd",103,0.00753805620608899
"it√","it√",103,0.00753805620608899
"red","red",103,0.00753805620608899
"right","right",103,0.00753805620608899
"use","use",103,0.00753805620608899
"develop","develop",101,0.00739168618266979
"lasall","lasall",101,0.00739168618266979
"resourc","resourc",100,0.00731850117096019
"studi","studi",100,0.00731850117096019
"director","director",99,0.00724531615925059
"pet","pet",99,0.00724531615925059
"someon","someon",99,0.00724531615925059
"avoid","avoid",98,0.00717213114754098
"honor","honor",98,0.00717213114754098
"tuesday","tuesday",98,0.00717213114754098
"award","award",97,0.00709894613583138
"class","class",97,0.00709894613583138
"cold","cold",96,0.00702576112412178
"mclean","mclean",96,0.00702576112412178
"express","express",95,0.00695257611241218
"group","group",95,0.00695257611241218
"survey","survey",95,0.00695257611241218
"affect","affect",94,0.00687939110070258
"attend","attend",94,0.00687939110070258
"don√","don√",94,0.00687939110070258
"men","men",94,0.00687939110070258
"two","two",94,0.00687939110070258
"june","june",93,0.00680620608899297
"poison","poison",92,0.00673302107728337
"bond","bond",91,0.00665983606557377
"unit","unit",91,0.00665983606557377
"build","build",90,0.00658665105386417
"busi","busi",90,0.00658665105386417
"effect","effect",90,0.00658665105386417
"sugar","sugar",89,0.00651346604215457
"wear","wear",89,0.00651346604215457
"youth","youth",89,0.00651346604215457
"contact","contact",88,0.00644028103044497
"date","date",88,0.00644028103044497
"henrystarkhd","henrystarkhd",88,0.00644028103044497
"team","team",88,0.00644028103044497
"action","action",87,0.00636709601873536
"decemb","decemb",87,0.00636709601873536
"forget","forget",87,0.00636709601873536
"near","near",87,0.00636709601873536
"wash","wash",87,0.00636709601873536
"cover","cover",86,0.00629391100702576
"hous","hous",86,0.00629391100702576
"reserv","reserv",86,0.00629391100702576
"yes","yes",86,0.00629391100702576
"donat","donat",85,0.00622072599531616
"lot","lot",85,0.00622072599531616
"creat","creat",84,0.00614754098360656
"impact","impact",84,0.00614754098360656
"mchd","mchd",84,0.00614754098360656
"thing","thing",84,0.00614754098360656
"togeth","togeth",84,0.00614754098360656
"cigarett","cigarett",83,0.00607435597189696
"corp","corp",83,0.00607435597189696
"discuss","discuss",83,0.00607435597189696
"serv","serv",83,0.00607435597189696
"undeclar","undeclar",83,0.00607435597189696
"kchd","kchd",82,0.00600117096018735
"system","system",82,0.00600117096018735
"wait","wait",82,0.00600117096018735
"better","better",81,0.00592798594847775
"congratul","congratul",81,0.00592798594847775
"cool","cool",81,0.00592798594847775
"member","member",81,0.00592798594847775
"nthe","nthe",81,0.00592798594847775
"outbreak","outbreak",81,0.00592798594847775
"recommend","recommend",81,0.00592798594847775
"wednesday","wednesday",81,0.00592798594847775
"car","car",80,0.00585480093676815
"page","page",80,0.00585480093676815
"place","place",80,0.00585480093676815
"put","put",80,0.00585480093676815
"seek","seek",80,0.00585480093676815
"abus","abus",79,0.00578161592505855
"also","also",79,0.00578161592505855
"anim","anim",79,0.00578161592505855
"low","low",79,0.00578161592505855
"matter","matter",79,0.00578161592505855
"patient","patient",79,0.00578161592505855
"pregnant","pregnant",79,0.00578161592505855
"announc","announc",78,0.00570843091334895
"differ","differ",78,0.00570843091334895
"enjoy","enjoy",78,0.00570843091334895
"mump","mump",78,0.00570843091334895
"contamin","contamin",77,0.00563524590163934
"current","current",77,0.00563524590163934
"fall","fall",77,0.00563524590163934
"idph","idph",77,0.00563524590163934
"physic","physic",77,0.00563524590163934
"rais","rais",77,0.00563524590163934
"symptom","symptom",77,0.00563524590163934
"number","number",76,0.00556206088992974
"set","set",76,0.00556206088992974
"stand","stand",76,0.00556206088992974
"benefit","benefit",75,0.00548887587822014
"opportun","opportun",75,0.00548887587822014
"communic","communic",74,0.00541569086651054
"continu","continu",74,0.00541569086651054
"danger","danger",74,0.00541569086651054
"jersey","jersey",74,0.00541569086651054
"kane","kane",74,0.00541569086651054
"social","social",74,0.00541569086651054
"stori","stori",74,0.00541569086651054
"applic","applic",73,0.00534250585480094
"appt","appt",73,0.00534250585480094
"ask","ask",73,0.00534250585480094
"aca","aca",72,0.00526932084309133
"accept","accept",72,0.00526932084309133
"counselor","counselor",72,0.00526932084309133
"doctor","doctor",72,0.00526932084309133
"infant","infant",72,0.00526932084309133
"warm","warm",72,0.00526932084309133
"big","big",71,0.00519613583138173
"fight","fight",71,0.00519613583138173
"morn","morn",71,0.00519613583138173
"qualiti","qualiti",71,0.00519613583138173
"much","much",70,0.00512295081967213
"phone","phone",70,0.00512295081967213
"present","present",70,0.00512295081967213
"click","click",69,0.00504976580796253
"ebola","ebola",69,0.00504976580796253
"encourag","encourag",69,0.00504976580796253
"inc","inc",69,0.00504976580796253
"other","other",69,0.00504976580796253
"radon","radon",69,0.00504976580796253
"releas","releas",69,0.00504976580796253
"sick","sick",69,0.00504976580796253
"violenc","violenc",69,0.00504976580796253
"wonder","wonder",69,0.00504976580796253
"blono","blono",68,0.00497658079625293
"warn","warn",68,0.00497658079625293
"bodi","bodi",67,0.00490339578454333
